Genotype (I.D.),Animal,Stimulus,Paw Velocity (mm/s),Paw Height (mm),Pain Score,TIME
C57 uninjured,"Cage1, Animal 1",0.07 VFH,530.48,5.83,1,Baseline
C57 uninjured,"Cage1, Animal 2",0.07 VFH,1031.47,6.77,0,Baseline
C57 uninjured,"Cage1, Animal 4",0.07 VFH,271.5,3.97,0,Baseline
C57 uninjured,"Cage2, Animal 0",0.07 VFH,171.28,5.93,0,Baseline
C57 uninjured,"Cage2, Animal 1",0.07 VFH,1399.75,10.81,0,Baseline
C57 uninjured,"Cage2, Animal 3",0.07 VFH,86.96,4.31,0,Baseline
C57 uninjured,"Cage3, Animal 0",0.07 VFH,632,4.17,1,Baseline
C57 uninjured,"Cage3, Animal 2",0.07 VFH,472.49,6.08,0,Baseline
C57 uninjured,"Cage3, Animal 3",0.07 VFH,1608.23,5.91,0,Baseline
C57 uninjured,"Cage3, Animal 4",0.07 VFH,649.37,4.98,0,Baseline
C57 uninjured,"Cage1, Animal 1",0.6 VFH,470.43,3.62,0,Baseline
C57 uninjured,"Cage1, Animal 2",0.6 VFH,1035,3.89,1,Baseline
C57 uninjured,"Cage1, Animal 4",0.6 VFH,960.97,6.42,0,Baseline
C57 uninjured,"Cage2, Animal 0",0.6 VFH,376.16,7.18,1,Baseline
C57 uninjured,"Cage2, Animal 1",0.6 VFH,594.58,9.22,0,Baseline
C57 uninjured,"Cage2, Animal 3",0.6 VFH,287.12,5.16,0,Baseline
C57 uninjured,"Cage3, Animal 0",0.6 VFH,844.95,3.95,1,Baseline
C57 uninjured,"Cage3, Animal 2",0.6 VFH,1094.71,8.6,0,Baseline
C57 uninjured,"Cage3, Animal 3",0.6 VFH,1348.08,12.7,2,Baseline
C57 uninjured,"Cage3, Animal 4",0.6 VFH,658.05,6.36,1,Baseline
C57 uninjured,"Cage1, Animal 1",1.4 VFH,793.41,7.46,0,Baseline
C57 uninjured,"Cage1, Animal 2",1.4 VFH,580.78,5.64,0,Baseline
C57 uninjured,"Cage1, Animal 4",1.4 VFH,664.98,3.6,0,Baseline
C57 uninjured,"Cage2, Animal 0",1.4 VFH,105.92,5.47,0,Baseline
C57 uninjured,"Cage2, Animal 1",1.4 VFH,736.73,10.36,0,Baseline
C57 uninjured,"Cage2, Animal 3",1.4 VFH,504.53,6.73,0,Baseline
C57 uninjured,"Cage3, Animal 0",1.4 VFH,2152.8,13.87,2,Baseline
C57 uninjured,"Cage3, Animal 2",1.4 VFH,1099.22,8,1,Baseline
C57 uninjured,"Cage3, Animal 3",1.4 VFH,769.45,5.28,0,Baseline
C57 uninjured,"Cage3, Animal 4",1.4 VFH,1103.2,8.91,2,Baseline
C57 uninjured,"Cage1, Animal 1",0.07 VFH,1138.15,7.43,1,Week 1
C57 uninjured,"Cage1, Animal 2",0.07 VFH,1537.65,9.11,3,Week 1
C57 uninjured,"Cage1, Animal 4",0.07 VFH,2022.62,16.09,2,Week 1
C57 uninjured,"Cage2, Animal 0",0.07 VFH,171.18,4.16,0,Week 1
C57 uninjured,"Cage2, Animal 1",0.07 VFH,888.22,6.41,0,Week 1
C57 uninjured,"Cage2, Animal 3",0.07 VFH,1112.9,6.34,0,Week 1
C57 uninjured,"Cage3, Animal 0",0.07 VFH,708.48,12.56,0,Week 1
C57 uninjured,"Cage3, Animal 2",0.07 VFH,412.83,7.09,0,Week 1
C57 uninjured,"Cage3, Animal 3",0.07 VFH,826.5,6.45,1,Week 1
C57 uninjured,"Cage3, Animal 4",0.07 VFH,558.24,6.34,0,Week 1
C57 uninjured,"Cage1, Animal 1",0.6 VFH,1498.7,6.75,1,Week 1
C57 uninjured,"Cage1, Animal 2",0.6 VFH,1168.73,9.39,3,Week 1
C57 uninjured,"Cage1, Animal 4",0.6 VFH,849.38,5.13,0,Week 1
C57 uninjured,"Cage2, Animal 0",0.6 VFH,203.01,5.33,0,Week 1
C57 uninjured,"Cage2, Animal 1",0.6 VFH,1298.18,7.02,0,Week 1
C57 uninjured,"Cage2, Animal 3",0.6 VFH,1316.72,11.18,1,Week 1
C57 uninjured,"Cage3, Animal 0",0.6 VFH,1323.6,10.82,3,Week 1
C57 uninjured,"Cage3, Animal 2",0.6 VFH,197.28,5.95,0,Week 1
C57 uninjured,"Cage3, Animal 3",0.6 VFH,1144.6,8.16,1,Week 1
C57 uninjured,"Cage3, Animal 4",0.6 VFH,1263.53,8.2,1,Week 1
C57 uninjured,"Cage1, Animal 1",1.4 VFH,1159.7,7.59,1,Week 1
C57 uninjured,"Cage1, Animal 2",1.4 VFH,575.45,7.01,1,Week 1
C57 uninjured,"Cage1, Animal 4",1.4 VFH,882.65,4.07,0,Week 1
C57 uninjured,"Cage2, Animal 0",1.4 VFH,511.29,7.53,0,Week 1
C57 uninjured,"Cage2, Animal 1",1.4 VFH,1254.75,7.41,1,Week 1
C57 uninjured,"Cage2, Animal 3",1.4 VFH,1050.717,7.6378,1,Week 1
C57 uninjured,"Cage3, Animal 2",1.4 VFH,681.275,8.1589,0,Week 1
C57 uninjured,"Cage3, Animal 3",1.4 VFH,1081.717,6.8686,1,Week 1
C57 uninjured,"Cage3, Animal 4",1.4 VFH,1551.78,7.54,1,Week 1
C57 uninjured,"Cage1, Animal 1",0.07 VFH,1128.4,8.74,0,Week 2
C57 uninjured,"Cage1, Animal 2",0.07 VFH,1281.4,10.67,1,Week 2
C57 uninjured,"Cage1, Animal 4",0.07 VFH,1034.76,9.15,2,Week 2
C57 uninjured,"Cage2, Animal 0",0.07 VFH,558.11,6.98,0,Week 2
C57 uninjured,"Cage2, Animal 1",0.07 VFH,503.58,6.85,0,Week 2
C57 uninjured,"Cage2, Animal 3",0.07 VFH,765.22,6.55,0,Week 2
C57 uninjured,"Cage3, Animal 0",0.07 VFH,709.8,9.327,0,Week 2
C57 uninjured,"Cage3, Animal 2",0.07 VFH,398.95,8.512,2,Week 2
C57 uninjured,"Cage3, Animal 3",0.07 VFH,584.6,6.2925,0,Week 2
C57 uninjured,"Cage3, Animal 4",0.07 VFH,609.225,7.6636,1,Week 2
C57 uninjured,"Cage1, Animal 1",0.6 VFH,415.79,7.23,1,Week 2
