,Genotype (I.D.),Animal,Stimulus,Paw Velocity (mm/s),Paw Height (mm),Pain Score,TIME,file,pca1,Paw Velocity (mm/s)_scaled,Paw Height (mm)_scaled,Pain Score_scaled,used for training,p_pain
0,C57,1,cotton swab,50.6,3.95,0.0,Baseline,C57 male.csv,-2.0273021415774006,-1.3268463034317488,-1.1593654650749423,-1.0231298052248863,1.0,0.08609838093000419
1,C57,2,cotton swab,165.3,4.96,0.0,Baseline,C57 male.csv,-1.8784509482072222,-1.1817831164265695,-1.0476060644807463,-1.0231298052248863,1.0,0.07680934632873104
2,C57,3,cotton swab,380.55,9.55,0.0,Baseline,C57 male.csv,-1.426990710108431,-0.9095525061138859,-0.5397093825724678,-1.0231298052248863,1.0,0.0724531183100686
3,C57,4,cotton swab,580.0,7.38,0.0,Baseline,C57 male.csv,-1.4189514019920688,-0.6573044446650368,-0.7798261145421769,-1.0231298052248863,1.0,0.07259637409577872
4,C57,5,cotton swab,258.67,5.43,0.0,Baseline,C57 male.csv,-1.7797763774849373,-1.063696370387567,-0.9955992146992886,-1.0231298052248863,1.0,0.07336396734431756
5,C57,6,cotton swab,931.32,6.53,1.0,Baseline,C57 male.csv,-0.6857068583772321,-0.2129836176496964,-0.8738810556363024,-0.10014396379512873,1.0,0.1592255619205568
6,C57,7,cotton swab,442.89,5.76,0.0,Baseline,C57 male.csv,-1.623244654872108,-0.8307099683815157,-0.9590837669803927,-1.0231298052248863,1.0,0.07110904018716896
7,C57,8,cotton swab,30.56,5.5,0.0,Baseline,C57 male.csv,-1.943028859025102,-1.3521912578134732,-0.9878535136680076,-1.0231298052248863,1.0,0.0801527501554069
8,C57,9,cotton swab,959.5,6.59,0.0,Baseline,C57 male.csv,-1.1903763915165482,-0.17734385644824963,-0.8672418833237759,-1.0231298052248863,1.0,0.08015274182653517
9,C57,10,cotton swab,134.8,5.35,0.0,Baseline,C57 male.csv,-1.8759651234707777,-1.2203570240434656,-1.004451444449324,-1.0231298052248863,1.0,0.07669921600171395
10,C57,1,dynamic brush,1092.51,7.17,0.0,Baseline,C57 male.csv,-1.0555290886593898,-0.009123677690107707,-0.8030632176360196,-1.0231298052248863,,0.08922966397805641
11,C57,2,dynamic brush,886.99,10.04,1.0,Baseline,C57 male.csv,-0.4940959468159509,-0.26904857911386026,-0.48548947535350145,-0.10014396379512873,,0.25411826060891335
12,C57,3,dynamic brush,941.47,10.01,0.5,Baseline,C57 male.csv,-0.7205654896880435,-0.20014672708210646,-0.48880906150976466,-0.5616368845100075,,0.14778040208641122
13,C57,4,dynamic brush,593.57,7.59,0.0,Baseline,C57 male.csv,-1.395559689787014,-0.6401422175712244,-0.756589011448334,-1.0231298052248863,,0.07305394128642184
14,C57,5,dynamic brush,852.58,8.82,0.0,Baseline,C57 male.csv,-1.126548030472972,-0.31256753521541397,-0.6204859790415405,-1.0231298052248863,,0.0838667309007889
15,C57,6,dynamic brush,588.51,11.41,1.0,Baseline,C57 male.csv,-0.6260506563878311,-0.6465416920807816,-0.33389504088414595,-0.10014396379512873,,0.1824841081863
16,C57,7,dynamic brush,1084.28,11.71,0.0,Baseline,C57 male.csv,-0.7715821560801348,-0.019532309155257027,-0.3006991793215133,-1.0231298052248863,,0.13347485155376923
17,C57,8,dynamic brush,291.49,3.78,0.0,Baseline,C57 male.csv,-1.8610404588410634,-1.0221883163552221,-1.1781764532937677,-1.0231298052248863,,0.07606505547964876
18,C57,9,dynamic brush,850.59,8.1,0.0,Baseline,C57 male.csv,-1.1740021424229903,-0.31508432459763114,-0.7001560467918587,-1.0231298052248863,,0.08101957327704809
19,C57,10,dynamic brush,3513.53,22.76,0.0,Baseline,C57 male.csv,1.7204199496793444,3.0527845786593164,0.9220150549021198,-1.0231298052248863,,0.914014475157562
20,C57,1,light pinprick,408.52,7.54,0.5,Baseline,C57 male.csv,-1.2702052424504553,-0.8741783357517685,-0.762121655042106,-0.5616368845100075,,0.07664478699889864
21,C57,2,light pinprick,683.34,10.22,1.0,Baseline,C57 male.csv,-0.6323371866935326,-0.5266084573492982,-0.46557195841592175,-0.10014396379512873,,0.17979496560867683
22,C57,3,light pinprick,1723.51,19.48,2.0,Baseline,C57 male.csv,1.2531913299859168,0.7889135585807558,0.5590736351506702,0.8228418776346288,,0.9258150312255462
23,C57,4,light pinprick,1633.04,13.66,2.0,Baseline,C57 male.csv,0.8149110286442647,0.6744944955610648,-0.08492607916440166,0.8228418776346288,,0.9379915561390002
24,C57,5,light pinprick,1464.9,9.43,1.0,Baseline,C57 male.csv,-0.10813708667326331,0.46184476353795406,-0.552987727197521,-0.10014396379512873,,0.6209410775036414
25,C57,6,light pinprick,897.32,6.6,3.0,Baseline,C57 male.csv,0.352209471255061,-0.25598403925541646,-0.8661353546050216,1.7458277190643865,,0.8961321440803107
26,C57,7,light pinprick,1081.9,8.68,0.0,Baseline,C57 male.csv,-0.9668772036352521,-0.022542338667657282,-0.6359773811041024,-1.0231298052248863,,0.0983381072517203
