Genotype (I.D.),Animal,Stimulus,GENDER,Paw Velocity (mm/s),Paw Height (mm),Pain Score,,,,,,
MrgD-ChR2,1,BL,FEMALE,652.65,6.95,0.00,,,,,,
MrgD-ChR2,2,BL,FEMALE,343.83,6.05,0.00,,,,,,
MrgD-ChR2,3,BL,FEMALE,342.30,12.91,2.00,,,,,,
MrgD-ChR2,4,BL,MALE,465.54,9.77,2.00,,,,,,
MrgD-ChR2,5,BL,MALE,232.63,2.33,0.00,,,,,,
MrgD-ChR2,6,BL,MALE,364.08,7.24,1.00,,,,,,
MrgD-ChR2,7,BL,FEMALE,143.02,6.99,2.00,,,,,,
MrgD-ChR2,8,BL,FEMALE,1017.53,9.91,2.00,,,,,,
MrgD-ChR2,9,BL,FEMALE,480.13,8.24,2.00,,,,,,
MrgD-ChR2,10,BL,FEMALE,453.93,6.22,0.00,,,,,,
MrgD-ChR2,1,CFA,MALE,941.75,10.30,3.00,,,,,,
MrgD-ChR2,2,CFA,MALE,494.48,9.87,1.00,,,,,,
MrgD-ChR2,3,CFA,FEMALE,1313.95,10.32,2.00,,,,,,
MrgD-ChR2,4,CFA,FEMALE,1347.77,18.08,3.00,,,,,,
MrgD-ChR2,5,CFA,MALE,832.08,12.25,3.00,,,,,,
MrgD-ChR2,6,CFA,FEMALE,445.94,8.78,2.00,,,,,,
MrgD-ChR2,7,CFA,FEMALE,1007.55,12.38,2.00,,,,,,
MrgD-ChR2,8,CFA,FEMALE,971.75,16.27,3.00,,,,,,
MrgD-ChR2,9,CFA,MALE,614.62,16.24,2.00,,,,,,
MrgD-ChR2,1,CFA+Painkiller,MALE,419.40,6.19,0.00,,,,,,
MrgD-ChR2,2,CFA+Painkiller,FEMALE,177.60,4.76,0.00,,,,,,
MrgD-ChR2,3,CFA+Painkiller,FEMALE,917.20,6.67,1.00,,,,,,
MrgD-ChR2,4,CFA+Painkiller,FEMALE,682.35,8.00,2.00,,,,,,
MrgD-ChR2,5,CFA+Painkiller,FEMALE,115.22,11.77,1.00,,,,,,
MrgD-ChR2,6,CFA+Painkiller,FEMALE,589.00,8.26,1.00,,,,,,
MrgD-ChR2,7,CFA+Painkiller,MALE,1674.67,8.27,2.00,,,,,,
MrgD-ChR2,8,CFA+Painkiller,MALE,139.81,8.83,0.00,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
