,Animal,GENDER,Genotype (I.D.),PCA,Pain Score,Paw Height (mm),Paw Velocity (mm/s),Stimulus,TIME,TiME,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Zscore Height,Zscore Pain,Zscore Velocity,file,pca1,Paw Velocity (mm/s)_scaled,Paw Height (mm)_scaled,Pain Score_scaled,used for training,p_pain
0,1.0,,CD1,,0.0,6.73,382.0,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.8038939020047422,-1.4301062999729794,-0.6783146709417369,-1.0204599858285308,,0.13492403323662347
1,2.0,,CD1,,0.0,6.02,412.64,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.843391221981228,-1.3859257181019302,-0.7907770071816651,-1.0204599858285308,,0.13663741107784433
2,3.0,,CD1,,0.0,5.86,310.79,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.9415850202479095,-1.5327857789232868,-0.8161206322498178,-1.0204599858285308,,0.14209444390493373
3,4.0,,CD1,,0.0,7.04,823.33,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.4133110915743412,-0.7937415415803496,-0.6292113973721909,-1.0204599858285308,,0.13143024626503322
4,5.0,,CD1,,0.0,8.43,923.29,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.2046624057208135,-0.649606719001039,-0.40903865459261335,-1.0204599858285308,,0.14172755293100836
5,6.0,,CD1,,0.0,7.25,844.64,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.3766914506862975,-0.7630141199200344,-0.5959478894702404,-1.0204599858285308,,0.13247140851023448
6,7.0,,CD1,,0.0,4.71,287.91,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-2.0650923010849302,-1.5657770228269945,-0.9982779374271662,-1.0204599858285308,,0.15170670147718335
7,8.0,,CD1,,2.0,7.1,1182.43,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-0.22662322927215514,-0.27594627559164886,-0.6197075379716337,0.48804608017886253,,0.48637563149818086
8,9.0,,CD1,,0.0,4.46,620.09,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.8151218787981942,-1.086798377724999,-1.037877351596155,-1.0204599858285308,,0.13538444196678423
9,1.0,,CD1,,0.5,10.17,569.86,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-1.1148008689846973,-1.1592262702636023,-0.1334267319764515,-0.6433334693266826,,0.15015862265432242
10,2.0,,CD1,,0.0,7.22,540.81,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-1.6288825915061513,-1.2011141913913432,-0.6006998191705191,-1.0204599858285308,,0.13033309394498327
11,3.0,,CD1,,0.0,5.15,592.52,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-1.7749251855302037,-1.1265522498589686,-0.928582968489746,-1.0204599858285308,,0.13383163647962448
12,4.0,,CD1,,1.0,10.21,510.57,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-0.9382419912782642,-1.244718003264076,-0.12709082570941316,-0.2662069528248342,,0.17675762779054596
13,5.0,,CD1,,0.0,3.46,636.16,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-1.8929899571024864,-1.0636266430426309,-1.19627500827211,-1.0204599858285308,,0.13917189354365742
14,6.0,,CD1,,0.0,4.82,399.02,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-1.9638487071688793,-1.4055647365446093,-0.9808541951928111,-1.0204599858285308,,0.14358726075305478
15,7.0,,CD1,,0.33,9.36,1453.95,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-0.5380230507821283,0.1155651992656389,-0.26172883388397516,-0.7715564849373109,,0.31106225928990644
16,8.0,,CD1,,0.0,10.64,1074.21,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-0.879501957414573,-0.4319913986361969,-0.05897983333875251,-1.0204599858285308,,0.18931016317936794
17,9.0,,CD1,,0.5,8.11,924.27,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-1.011401354049789,-0.6481936325051633,-0.45972590472891905,-0.6433334693266826,,0.16388553640697048
18,10.0,,CD1,,1.0,11.84,902.63,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-0.4679099775823695,-0.6793968894140897,0.13109735467239347,-0.2662069528248342,,0.34931793007318085
19,1.0,,CD1,,1.0,12.77,1127.88,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-0.19828075513539084,-0.35460328411207104,0.27840717538103166,-0.2662069528248342,,0.5
20,2.0,,CD1,,3.0,16.76,1804.48,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.606965085408988,0.6210031680404071,0.9104138255180928,1.2422991131825591,,0.7954982080947804
21,3.0,,CD1,,2.0,21.81,1588.22,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.4460771040709774,0.3091724684505535,1.7103219917316654,0.48804608017886253,,0.7986808354614804
22,4.0,,CD1,,2.0,7.88,455.69,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-0.7522836475353907,-1.3238508470331092,-0.4961573657643886,0.48804608017886253,,0.2243447818469059
23,5.0,,CD1,,3.0,13.45,1408.35,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,0.9803066830398253,0.04981341945754971,0.3861175819206811,1.2422991131825591,,0.803661573783389
24,6.0,,CD1,,2.0,29.69,1501.44,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,2.0923976712924435,0.1840422173157737,2.958495526338192,0.48804608017886253,,0.7968968663247231
25,7.0,,CD1,,1.0,11.96,565.86,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-0.7334871173947065,-1.164993970246768,0.15010507347350824,-0.2662069528248342,,0.2305194938206222
26,8.0,,CD1,,1.0,5.71,488.36,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-1.3662579857976782,-1.2767431574206034,-0.8398802807512111,-0.2662069528248342,,0.13282088705547263
27,9.0,,CD1,,1.0,5.69,463.32,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-1.3886382955618655,-1.3128489593152208,-0.8430482338847302,-0.2662069528248342,,0.13210050005354315
28,10.0,,CD1,,2.0,26.88,2168.36,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,2.384086411088802,1.145690835508991,2.5133981110787578,0.48804608017886253,,0.805301529937387
29,1.0,,CD1,,2.0,9.8,1108.78,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-0.04122517697359366,-0.38214405153168746,-0.19203386494655475,0.48804608017886253,,0.5911169954602339
30,2.0,,CD1,,1.25,17.7,1113.99,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,0.3500503645726841,-0.3746316223036141,1.0593076227934901,-0.07764369457391002,,0.7380365327787527
31,3.0,,CD1,,3.0,31.2,1971.29,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,3.0588643356014367,0.8615306765883747,3.197675987918884,1.2422991131825591,,0.7945656762507464
32,4.0,,CD1,,2.33,14.17,915.26,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,0.34408145120926625,-0.661185376717244,0.5001638947273689,0.7369495810700825,,0.7365863021827372
33,5.0,,CD1,,3.0,16.7,1258.17,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.1529541504596648,-0.1667348764104063,0.900909966117535,1.2422991131825591,,0.8039248522081544
34,6.0,,CD1,,0.5,14.36,831.5,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-0.5184304726227226,-0.7819610143647338,0.5302594494958002,-0.6433334693266826,,0.3207367403442028
35,7.0,,CD1,,1.5,23.35,1342.36,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.1628536576110964,-0.045339211014726453,1.9542543830126367,0.11091956367701417,,0.803832180563264
36,8.0,,CD1,,2.0,12.7,893.91,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,0.046436823971103706,-0.691970475377391,0.2673193394137148,0.48804608017886253,,0.6359800116726186
37,9.0,,CD1,,2.0,20.48,1911.03,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.590006978755524,0.7746402763419834,1.4996531083526454,0.48804608017886253,,0.7957863442210269
38,10.0,,CD1,,3.0,24.7,808.43,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.5121943085970546,-0.815226224017642,2.168091219525176,1.2422991131825591,,0.7972752062993238
0,1.0,,CD1,,0.0,9.13,811.94,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-1.2323425614221395,-0.810165067282414,-0.2981602949194446,-1.0204599858285308,,0.13968284902776176
1,2.0,,CD1,,0.0,5.62,506.48,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-1.802768931593085,-1.2506154764968627,-0.854136069852047,-1.0204599858285308,,0.1348790532316705
2,3.0,,CD1,,0.0,4.89,147.7,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-2.1638203397696563,-1.7679493264869102,-0.9697663592254944,-1.0204599858285308,,0.16197449615368684
3,4.0,,CD1,,0.0,9.88,794.54,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-1.1783320613968842,-0.8352545622091849,-0.17936205241247832,-1.0204599858285308,,0.14390205704290066
4,5.0,,CD1,,0.0,9.54,1016.95,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-1.0266837809076865,-0.5145560238952139,-0.2332172556823033,-1.0204599858285308,,0.16154775889858797
5,6.0,,CD1,,0.0,4.82,313.95,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-2.0336953324818543,-1.5282292959365857,-0.9808541951928111,-1.0204599858285308,,0.14894423934324827
6,7.0,,CD1,,0.0,9.09,1074.65,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-1.0202873124699043,-0.4313569516380486,-0.304496201186483,-1.0204599858285308,,0.16251229383799162
7,8.0,,CD1,,0.0,10.63,980.8,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-0.95710675343416,-0.566681612493074,-0.06056380990551202,-1.0204599858285308,,0.1731596762520554
8,9.0,,CD1,,0.0,6.65,460.81,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-1.746472029127047,-1.3164681910546572,-0.6909864834758133,-1.0204599858285308,,0.13288991441388123
9,10.0,,CD1,,0.0,5.04,329.8,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-2.0006479949593636,-1.505374784753292,-0.946006710724101,-1.0204599858285308,,0.14627843290760237
10,1.0,,CD1,,0.0,8.53,906.22,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-1.2095714761931293,-0.6742203786791985,-0.3931988889250179,-1.0204599858285308,,0.14134732105627637
11,2.0,,CD1,,1.0,8.08,1282.02,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-0.49880662901510503,-0.13234496526078093,-0.4644778344291976,-0.2662069528248342,,0.333998978464515
12,3.0,,CD1,,3.0,5.92,1309.88,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,0.21375863377199059,-0.09217293487803163,-0.8066167728492606,1.2422991131825591,,0.6991204889809757
13,4.0,,CD1,,0.0,10.39,936.14,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-1.015629754869538,-0.6310779828051191,-0.09857924750774127,-1.0204599858285308,,0.16322720735421722
14,5.0,,CD1,,0.0,5.0,903.65,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-1.5331316081221038,-0.6779261259183824,-0.9523426169911392,-1.0204599858285308,,0.12984145455323984
15,1.0,,CD1,,0.0,6.82,1110.63,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-1.1974574714898216,-0.3794764902894731,-0.664058881840901,-1.0204599858285308,,0.14229973226358564
16,2.0,,CD1,,0.0,8.76,482.54,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-1.5364891145365212,-1.2851351608961095,-0.3567674278895482,-1.0204599858285308,,0.12983358792311678
17,3.0,,CD1,,0.0,3.95,678.0,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-1.814016730098179,-1.0032965012187176,-1.118660156500892,-1.0204599858285308,,0.13533819540378642
18,4.0,,CD1,,1.0,3.8,711.9,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-1.3566497833253324,-0.9544152438613882,-1.1424198050022853,-0.2662069528248342,,0.13316427525715113
19,5.0,,CD1,,0.0,7.39,1423.8,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-0.8884240744916321,0.0720911606425273,-0.5737722175356067,-1.0204599858285308,,0.18726644202293283
20,1.0,,CD1,,0.0,3.03,334.38,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-2.1799228810910094,-1.4987707682725673,-1.264386000642771,-1.0204599858285308,,0.16389259685639815
21,2.0,,CD1,,0.0,3.19,536.89,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-1.9990823060051897,-1.2067665373748455,-1.239042375574618,-1.0204599858285308,,0.14615808607082173
22,3.0,,CD1,,0.0,9.42,1458.63,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-0.674970406681523,0.12231340824594285,-0.2522249744834178,-1.0204599858285308,,0.25149472176455073
23,4.0,,CD1,,0.0,4.88,623.21,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-1.7743140264315638,-1.0822995717381296,-0.9713503357922538,-1.0204599858285308,,0.13381005328344214
24,5.0,,CD1,,0.0,6.36,514.36,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-1.7289129400783416,-1.2392531075300264,-0.7369218039118403,-1.0204599858285308,,0.13237243552741582
25,6.0,,CD1,,2.0,15.8,1491.93,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,0.8197336878368003,0.17032951060579724,0.7583520751091757,0.48804608017886253,,0.7989282620285804
26,7.0,,CD1,,1.0,8.52,1394.54,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-0.3663547862518369,0.029900435265670204,-0.39478286549177743,-0.2662069528248342,,0.4041600004885912
27,8.0,,CD1,,1.0,13.59,962.07,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-0.2597477509887042,-0.5936888676642473,0.4082932538553149,-0.2662069528248342,,0.4666904548852387
28,9.0,,CD1,,1.0,11.96,1051.82,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-0.3344902202853456,-0.46427609929196706,0.15010507347350824,-0.2662069528248342,,0.4225207157069801
29,10.0,,CD1,,2.0,13.67,1242.86,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,0.42127228197491823,-0.18881074809597326,0.4209650663893913,0.48804608017886253,,0.7537116933357227
30,1.0,,CD1,,4.0,10.0,1851.37,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,1.4730754338638032,0.6886150310930669,-0.16035433361136384,1.9965521461862559,,0.7980975923790912
31,2.0,,CD1,,4.0,7.98,1894.42,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,1.3244756734978669,0.7506899021618879,-0.48031760009679303,1.9965521461862559,,0.8012795128616561
32,3.0,,CD1,,2.0,20.66,2618.17,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,2.1869946795670883,1.794283117865932,1.5281646865543173,0.48804608017886253,,0.7993775034450065
33,4.0,,CD1,,3.0,24.54,1747.73,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,2.268835516144455,0.5391739245292437,2.142747594457023,1.2422991131825591,,0.8018157783585171
34,5.0,,CD1,,1.0,15.21,1163.06,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,0.05279583640589305,-0.3038763627601289,0.6648974576703622,-0.2662069528248342,,0.6391120158135403
35,6.0,,CD1,,2.0,26.46,3066.74,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,3.083454093219021,2.441087413228091,2.446871095274857,0.48804608017886253,,0.7923418714035008
