,Animal,GENDER,Genotype (I.D.),PCA,Pain Score,Paw Height (mm),Paw Velocity (mm/s),Stimulus,TIME,TiME,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Zscore Height,Zscore Pain,Zscore Velocity,file,pca1,Paw Velocity (mm/s)_scaled,Paw Height (mm)_scaled,Pain Score_scaled,used for training,p_pain
0,1.0,,CD1,,0.0,6.73,382.0,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.6060556342068537,-0.9077186646042301,-0.851750481261214,-1.0231298052248863,,0.06988890404987388
1,2.0,,CD1,,0.0,6.02,412.64,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.6288789258987264,-0.8689676964277813,-0.9303140202927779,-1.0231298052248863,,0.06996862244056712
2,3.0,,CD1,,0.0,5.86,310.79,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.713986994615959,-0.9977792535025634,-0.9480184797928484,-1.0231298052248863,,0.07086743584841919
3,4.0,,CD1,,0.0,7.04,823.33,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.2617546111648335,-0.34956054497915845,-0.8174480909798271,-1.0231298052248863,,0.07606369435599189
4,5.0,,CD1,,0.0,8.43,923.29,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.0994684051507329,-0.22313930545834154,-0.6636405990729628,-1.0231298052248863,,0.08528468253638563
5,6.0,,CD1,,0.0,7.25,844.64,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.232671862315804,-0.32260939837863223,-0.7942109878859842,-1.0231298052248863,,0.0773111424740181
6,7.0,,CD1,,0.0,4.71,287.91,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.8042678183249656,-1.0267160078066477,-1.0752692824496068,-1.0231298052248863,,0.07301540358146123
7,8.0,,CD1,,2.0,7.1,1182.43,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,0.06455997190947309,0.10459979027419675,-0.8108089186673005,0.8228418776346288,,0.8032322132157486
8,9.0,,CD1,,0.0,4.46,620.09,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.575992886184606,-0.6066018887187627,-1.1029325004184674,-1.0231298052248863,,0.06987990317301826
9,1.0,,CD1,,0.5,10.17,569.86,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-0.9835812206421453,-0.6701286880498015,-0.4711046020096939,-0.5616368845100075,,0.09652895123727549
10,2.0,,CD1,,0.0,7.22,540.81,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-1.457987073278883,-0.7068687541570419,-0.7975305740422476,-1.0231298052248863,,0.0708372548478068
11,3.0,,CD1,,0.0,5.15,592.52,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-1.5521898223626716,-0.6414701717678717,-1.0265820188244121,-1.0231298052248863,,0.06994753345811919
12,4.0,,CD1,,1.0,10.21,510.57,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-0.760009592906016,-0.7451138350204823,-0.46667848713467613,-0.10014396379512873,,0.13944703123507066
13,5.0,,CD1,,0.0,3.46,636.16,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-1.6280532675344104,-0.5862778659186475,-1.2135853722939092,-1.0231298052248863,,0.06996461171677736
14,6.0,,CD1,,0.0,4.82,399.02,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-1.7155449067398525,-0.8861931594357197,-1.063097466543308,-1.0231298052248863,,0.07089339830990667
15,7.0,,CD1,,0.33,9.36,1453.95,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-0.4752385643585978,0.44799609834434706,-0.5607334282288019,-0.7185444775530663,,0.2817003877870342
16,8.0,,CD1,,0.0,10.64,1074.21,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-0.8473339921598644,-0.032268022260245215,-0.41909775222823614,-1.0231298052248863,,0.11818509582976557
17,9.0,,CD1,,0.5,8.11,924.27,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-0.854577146052004,-0.22189988154147078,-0.6990495180731043,-0.5616368845100075,,0.11672287452501702
18,10.0,,CD1,,1.0,11.84,902.63,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-0.36761894784426635,-0.24926838517522906,-0.28631430597770596,-0.10014396379512873,,0.3773893667334966
19,1.0,,CD1,,1.0,12.77,1127.88,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-0.1425930883048268,0.035609407962666526,-0.183407135133545,-0.10014396379512873,,0.6223382748471993
20,2.0,,CD1,,3.0,16.76,1804.48,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.668205372649372,0.8913177979164957,0.25809782364946837,1.7458277190643865,,0.9333028302839224
21,3.0,,CD1,,2.0,21.81,1588.22,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.30254753617963,0.6178098221384657,0.8168948266204497,0.8228418776346288,,0.9412952426662313
22,4.0,,CD1,,2.0,7.88,455.69,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-0.4199710576046571,-0.8145215743652444,-0.7244996786044559,0.8228418776346288,,0.3307680717532047
23,5.0,,CD1,,3.0,13.45,1408.35,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.165510024640837,0.3903249446613812,-0.10816318225824456,1.7458277190643865,,0.9460169326778058
24,6.0,,CD1,,2.0,29.69,1501.44,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.7420852683376662,0.5080575695812779,1.688839456998932,0.8228418776346288,,0.9331591640187846
25,7.0,,CD1,,1.0,11.96,565.86,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-0.6075727118403033,-0.6751875611798863,-0.2730359613526528,-0.10014396379512873,,0.19832433039172034
26,8.0,,CD1,,1.0,5.71,488.36,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-1.0637832778136864,-0.7732032280752776,-0.9646164105741649,-0.10014396379512873,,0.08822473529155156
27,9.0,,CD1,,1.0,5.69,463.32,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-1.083472115510772,-0.8048717738696081,-0.9668294680116737,-0.10014396379512873,,0.08655228748748563
28,10.0,,CD1,,2.0,26.88,2168.36,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,2.052963261367256,1.3515234865603023,1.37790488702894,0.8228418776346288,,0.9366968376299856
