,Animal,GENDER,Genotype (I.D.),PCA,Pain Score,Paw Height (mm),Paw Velocity (mm/s),Stimulus,TIME,TiME,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Zscore Height,Zscore Pain,Zscore Velocity,file,pca1,Paw Velocity (mm/s)_scaled,Paw Height (mm)_scaled,Pain Score_scaled,used for training,p_pain
0,1.0,,CD1,,0.0,6.73,382.0,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.6059540887956805,-1.0798797078004692,-0.8386165647272152,-0.8553372034476996,,0.07066192061367156
1,2.0,,CD1,,0.0,6.02,412.64,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.645026186147735,-1.0430002679920847,-0.946550537528144,-0.8553372034476996,,0.07493569119510386
2,3.0,,CD1,,0.0,5.86,310.79,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.732219218776842,-1.1655907035170185,-0.9708736863283531,-0.8553372034476996,,0.08713955472060501
3,4.0,,CD1,,0.0,7.04,823.33,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.2611509233205274,-0.5486785599338123,-0.7914904639268099,-0.8553372034476996,,0.060526190550789075
4,5.0,,CD1,,0.0,8.43,923.29,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.0693725803747467,-0.4283629984701661,-0.5801831087249918,-0.8553372034476996,,0.08113642982433966
5,6.0,,CD1,,0.0,7.25,844.64,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.227702534022297,-0.5230290539835293,-0.7595663311265352,-0.8553372034476996,,0.06232567604066734
6,7.0,,CD1,,0.0,4.71,287.91,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.8477672991953682,-1.1931299196663603,-1.1456963183298574,-0.8553372034476996,,0.10979582387551849
7,8.0,,CD1,,2.0,7.1,1182.43,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-0.2523581877694668,-0.11645248828920064,-0.7823692831267314,0.4605661864718382,,0.8463192170514878
8,9.0,,CD1,,0.0,4.46,620.09,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.6298733431009302,-0.7933057579317263,-1.1837012383301844,-0.8553372034476996,,0.0731951148078527
9,1.0,,CD1,,0.5,10.17,569.86,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-0.9880417632228792,-0.8537644479309154,-0.3156688655227159,-0.5263613559678152,,0.10056116453849774
10,2.0,,CD1,,0.0,7.22,540.81,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-1.449280583860789,-0.888730104798852,-0.7641269215265745,-0.8553372034476996,,0.060059286948308845
11,3.0,,CD1,,0.0,5.15,592.52,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-1.590311182351297,-0.8264900319368557,-1.078807659129282,-0.8553372034476996,,0.06914347261675007
12,4.0,,CD1,,1.0,10.21,510.57,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-0.8411329373394505,-0.9251280897794509,-0.30958807832266344,-0.1973855084879307,,0.16587213713252683
13,5.0,,CD1,,0.0,3.46,636.16,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-1.7044266859666597,-0.7739633102254359,-1.3357209183314924,-0.8553372034476996,,0.08282817546433197
14,6.0,,CD1,,0.0,4.82,399.02,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-1.75820667503222,-1.0593938048781877,-1.1289741535297135,-0.8553372034476996,,0.09155068913318268
15,7.0,,CD1,,0.33,9.36,1453.95,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-0.48388697144968534,0.21035904881173212,-0.43880480632377544,-0.6382131441109758,,0.5890277389532558
16,8.0,,CD1,,0.0,10.64,1074.21,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-0.7702316730198884,-0.24671009194662166,-0.24421961592210106,-0.8553372034476996,,0.21832582750112858
17,9.0,,CD1,,0.5,8.11,924.27,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-0.9100315158390835,-0.42718343414209115,-0.6288294063254104,-0.5263613559678152,,0.12918432356548884
18,10.0,,CD1,,1.0,11.84,902.63,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-0.4181426585028431,-0.4532301403252975,-0.0617959999205316,-0.1973855084879307,,0.6800590876759194
19,1.0,,CD1,,1.0,12.77,1127.88,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-0.1756807194743315,-0.18211089042847534,0.07958230248068476,-0.1973855084879307,,0.8910155995919758
20,2.0,,CD1,,3.0,16.76,1804.48,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.4004744536152156,0.6322699507710352,0.6861408256859038,1.1185178814316072,,0.952731562595098
21,3.0,,CD1,,2.0,21.81,1588.22,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.307190449166107,0.3719713981286968,1.4538402096925087,0.4605661864718382,,0.9531461243122664
22,4.0,,CD1,,2.0,7.88,455.69,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-0.7089900796240302,-0.9911836921516487,-0.6637939327257112,0.4605661864718382,,0.2778672513333231
23,5.0,,CD1,,3.0,13.45,1408.35,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,0.8298417179336082,0.15547319844416224,0.18295568488157415,1.1185178814316072,,0.9643404494639087
24,6.0,,CD1,,2.0,29.69,1501.44,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.9233949452323806,0.2675197732405893,2.6517552881028155,0.4605661864718382,,0.9573110482440608
25,7.0,,CD1,,1.0,11.96,565.86,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-0.6505426971307722,-0.8585789962087724,-0.043553638320374496,-0.1973855084879307,,0.3498788416394042
26,8.0,,CD1,,1.0,5.71,488.36,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-1.244754515323558,-0.9518608690922518,-0.9936766383285495,-0.1973855084879307,,0.061332603570736006
27,9.0,,CD1,,1.0,5.69,463.32,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-1.2645255199115157,-0.9819999413116366,-0.9967170319285755,-0.1973855084879307,,0.060377619702204566
28,10.0,,CD1,,2.0,26.88,2168.36,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,2.1620533243592415,1.070249407607686,2.22457998729914,0.4605661864718382,,0.9595669832749166
29,1.0,,CD1,,2.0,9.8,1108.78,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-0.07287562337352414,-0.20510035845524266,-0.3719161471231997,0.4605661864718382,,0.928548146811304
30,2.0,,CD1,,1.25,17.7,1113.99,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,0.3320585100374555,-0.19882940932333387,0.8290393248871331,-0.03289758474798848,,0.9710083366788469
31,3.0,,CD1,,3.0,31.2,1971.29,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,2.7645147916744484,0.8330486503283664,2.88130500490479,1.1185178814316072,,0.9542856932678759
32,4.0,,CD1,,2.33,14.17,915.26,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,0.28694569537354253,-0.43802820413796406,0.292409854482516,0.677690245808562,,0.969924680548728
33,5.0,,CD1,,3.0,16.7,1258.17,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.001538080758319,-0.025289016647978436,0.677019644885825,1.1185178814316072,,0.9590367582147945
34,6.0,,CD1,,0.5,14.36,831.5,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-0.438546558048193,-0.5388448450762895,0.32129359368276444,-0.5263613559678152,,0.6528251849148831
35,7.0,,CD1,,1.5,23.35,1342.36,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.0764315000659257,0.07604518823021646,1.6879505168945235,0.13159033899195374,,0.9570098738318178
36,8.0,,CD1,,2.0,12.7,893.91,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,0.02204592875558097,-0.46372585557102575,0.06894092488059317,0.4605661864718382,,0.9485747119879034
37,9.0,,CD1,,2.0,20.48,1911.03,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.425303571964695,0.7605174805224508,1.2516540352907692,0.4605661864718382,,0.9527228615756564
38,10.0,,CD1,,3.0,24.7,808.43,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.36646536386222,-0.5666127522688298,1.8931770848962888,1.1185178814316072,,0.9528103941156919
0,1.0,,CD1,,0.0,9.13,811.94,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-1.089335833268778,-0.5623879861550102,-0.47376933272407606,-0.8553372034476996,1.0,0.07759053378307752
1,2.0,,CD1,,0.0,5.62,506.48,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-1.6118428817162358,-0.9300509653935596,-1.0073584095286672,-0.8553372034476996,1.0,0.07126162186762847
2,3.0,,CD1,,0.0,4.89,147.7,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-1.9333230506277792,-1.3618918731759426,-1.118332775929622,-0.8553372034476996,1.0,0.13210241450365645
3,4.0,,CD1,,0.0,9.88,794.54,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-1.0372751861711584,-0.5833312711636882,-0.3597545727230951,-0.8553372034476996,1.0,0.08776911058448233
4,5.0,,CD1,,0.0,9.54,1016.95,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-0.9062532869075923,-0.3156303505441445,-0.41144126392354,-0.8553372034476996,1.0,0.13088679269606157
5,6.0,,CD1,,0.0,4.82,313.95,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-1.8195232546668545,-1.1617872103775113,-1.1289741535297135,-0.8553372034476996,1.0,0.10350877157687363
6,7.0,,CD1,,0.0,9.09,1074.65,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-0.9034257095668595,-0.24618049163605732,-0.4798501199241285,-0.8553372034476996,1.0,0.13218244961754266
7,8.0,,CD1,,0.0,10.63,980.8,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-0.8384209031456011,-0.3591418306052772,-0.2457398127221141,-0.8553372034476996,1.0,0.1675827077123668
8,9.0,,CD1,,0.0,6.65,460.81,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-1.5560404786391007,-0.9850210703559918,-0.8507781391273199,-0.8553372034476996,1.0,0.06618648275847293
9,10.0,,CD1,,0.0,5.04,329.8,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-1.7891489504947786,-1.1427095628265032,-1.0955298239294258,-0.8553372034476996,1.0,0.0973045050352406
10,1.0,,CD1,,0.0,8.53,906.22,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-1.073062635425077,-0.44890908324592077,-0.564981140724861,-0.8553372034476996,,0.08044935317996646
11,2.0,,CD1,,1.0,8.08,1282.02,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-0.46855899360011377,0.0034177274587437866,-0.6333899967254495,-0.1973855084879307,,0.6120700915266454
12,3.0,,CD1,,3.0,5.92,1309.88,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,0.1102607934201105,0.036951056214017904,-0.9617525055282747,1.1185178814316072,,0.9596438024723141
13,4.0,,CD1,,0.0,10.39,936.14,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-0.8912835447517921,-0.41289626212755054,-0.2822245359224281,-0.8553372034476996,,0.13796155218240214
14,5.0,,CD1,,0.0,5.0,903.65,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-1.3789759775214343,-0.452002430514444,-1.1016106111294781,-0.8553372034476996,,0.06108977915023623
15,1.0,,CD1,,0.0,6.82,1110.63,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-1.0730213939879663,-0.20287362987673363,-0.8249347935270975,-0.8553372034476996,,0.08045695091322788
16,2.0,,CD1,,0.0,8.76,482.54,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-1.3586304982177095,-0.9588660368365337,-0.5300166143245602,-0.8553372034476996,,0.061000771190498675
17,3.0,,CD1,,0.0,3.95,678.0,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-1.632062577056961,-0.7236031352390516,-1.2612312751308512,-0.8553372034476996,,0.07343999303154636
18,4.0,,CD1,,1.0,3.8,711.9,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-1.2481520407143856,-0.6827998385842137,-1.2840342271310479,-0.1973855084879307,,0.0611538001984254
19,5.0,,CD1,,0.0,7.39,1423.8,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-0.7981977061755917,0.17406939116738493,-0.7382835759263521,-0.8553372034476996,,0.19564301925742494
20,1.0,,CD1,,0.0,3.03,334.38,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-1.9589816387871128,-1.1371969050483568,-1.4010893807320548,-0.8553372034476996,,0.13980479450962527
21,2.0,,CD1,,0.0,3.19,536.89,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-1.7992350983876721,-0.8934483621111518,-1.3767662319318457,-0.8553372034476996,,0.09930227281309652
22,3.0,,CD1,,0.0,9.42,1458.63,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-0.5982364342503989,0.21599207029682488,-0.4296836255236969,-0.8553372034476996,,0.41916436084298947
23,4.0,,CD1,,0.0,4.88,623.21,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-1.5914472932639387,-0.7895504102749978,-1.1198529727296351,-0.8553372034476996,,0.06925013827850789
24,5.0,,CD1,,0.0,6.36,514.36,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-1.542422330656698,-0.9205663052861813,-0.8948638463276992,-0.8553372034476996,,0.0651488158985056
25,6.0,,CD1,,2.0,15.8,1491.93,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,0.7201079120785422,0.2560731847099843,0.5402019328846481,0.4605661864718382,,0.967591719912225
26,7.0,,CD1,,1.0,8.52,1394.54,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-0.34955711188025723,0.13885097051486103,-0.5665013375248741,-0.1973855084879307,,0.7612667490289404
27,8.0,,CD1,,1.0,13.59,962.07,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-0.2245611898295624,-0.3816859529163425,0.20423844008175734,-0.1973855084879307,,0.8645455462490833
28,9.0,,CD1,,1.0,11.96,1051.82,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-0.30027344781553766,-0.27365952593192633,-0.043553638320374496,-0.1973855084879307,,0.8087458455612592
