,Animal,GENDER,Genotype (I.D.),PCA,Pain Score,Paw Height (mm),Paw Velocity (mm/s),Stimulus,TIME,TiME,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Zscore Height,Zscore Pain,Zscore Velocity,file,pca1,Paw Velocity (mm/s)_scaled,Paw Height (mm)_scaled,Pain Score_scaled,used for training,p_pain
0,1.0,,CD1,,0.0,6.73,382.0,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.7599703864841654,-1.2325493497748006,-0.8003576148363633,-1.0226933859928915,1.0,0.09428979752512216
1,2.0,,CD1,,0.0,6.02,412.64,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.7770012240437896,-1.1653880173826179,-0.8943329323064874,-1.0226933859928915,1.0,0.09563191988945714
2,3.0,,CD1,,0.0,5.86,310.79,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.916964076902029,-1.3886380730008887,-0.9155104686377827,-1.0226933859928915,1.0,0.11103782405975303
3,4.0,,CD1,,0.0,7.04,823.33,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.1833907786609663,-0.26517628108543956,-0.7593261381944781,-1.0226933859928915,1.0,0.12056967877875902
4,5.0,,CD1,,0.0,8.43,923.29,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-0.949850195154411,-0.04606901000441523,-0.5753462913163482,-1.0226933859928915,1.0,0.19997798108893083
5,6.0,,CD1,,0.0,7.25,844.64,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.1403371502520216,-0.2184658374406154,-0.7315306217596528,-1.0226933859928915,1.0,0.13054483864883218
6,7.0,,CD1,,0.0,4.71,287.91,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-2.0353054103780495,-1.4387898773459649,-1.0677240110189694,-1.0226933859928915,1.0,0.1307294248044498
7,8.0,,CD1,,2.0,7.1,1182.43,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,0.25438417034509914,0.5219527809913501,-0.7513845620702424,0.6984026577506816,1.0,0.8623195481493301
8,9.0,,CD1,,0.0,4.46,620.09,cotton swab,,,,,,,,,,,,,,,,CD1 male.csv,-1.6390269341212875,-0.7106680955563021,-1.1008139115366187,-1.0226933859928915,1.0,0.08788351622010897
9,1.0,,CD1,,0.5,10.17,569.86,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-1.010597345539648,-0.8207697184694659,-0.34504058371350915,-0.5924193750569982,,0.17270955965806836
10,2.0,,CD1,,0.0,7.22,540.81,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-1.5229716014851833,-0.8844458511715846,-0.7355014098217707,-1.0226933859928915,,0.08686280963972655
11,3.0,,CD1,,0.0,5.15,592.52,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-1.6197135300096277,-0.771100143012323,-1.0094857861079067,-1.0226933859928915,,0.08736137287939777
12,4.0,,CD1,,1.0,10.21,510.57,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-0.8357834693138388,-0.9507304037675246,-0.33974619963068514,-0.16214536412110495,,0.26642511470765395
13,5.0,,CD1,,0.0,3.46,636.16,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-1.6969153760652502,-0.6754434672422559,-1.233173513607216,-1.0226933859928915,,0.0902731184014841
14,6.0,,CD1,,0.0,4.82,399.02,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-1.8876522469410015,-1.1952423694446783,-1.0531644547912038,-1.0226933859928915,,0.10713991451885868
15,7.0,,CD1,,0.33,9.36,1453.95,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-0.0507999385070314,1.1171109066808236,-0.4522518613906929,-0.7387125387752018,,0.8116797352026333
16,8.0,,CD1,,0.0,10.64,1074.21,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-0.5885623411270254,0.28474000711791597,-0.2828315707403284,-1.0226933859928915,,0.4703872753863797
17,9.0,,CD1,,0.5,8.11,924.27,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-0.727679262988436,-0.04392089950362083,-0.6177013639789394,-0.5924193750569982,,0.35016221733951797
18,10.0,,CD1,,1.0,11.84,902.63,dynamic brush,,,,,,,,,,,,,,,,CD1 male.csv,-0.21790992561356207,-0.09135468648034518,-0.12400004825561192,-0.16214536412110495,,0.7474298016474269
19,1.0,,CD1,,1.0,12.77,1127.88,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,0.13657090927497448,0.40238193627876634,-0.0009056183299566114,-0.16214536412110495,,0.8500182134294959
20,2.0,,CD1,,3.0,16.76,1804.48,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,2.2783013433876667,1.8854549616231153,0.5272091939317263,1.5589506796224681,,0.8677499183555092
21,3.0,,CD1,,2.0,21.81,1588.22,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.9097191017290425,1.4114239647845566,1.1956251843882415,0.6984026577506816,,0.8718027723265976
22,4.0,,CD1,,2.0,7.88,455.69,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-0.5944110782219452,-1.0710245918120087,-0.6481440724551766,0.6984026577506816,,0.4650643934267518
23,5.0,,CD1,,3.0,13.45,1408.35,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.5242888882574088,1.0171580099091673,0.0890989110780494,1.5589506796224681,,0.8694739061255526
24,6.0,,CD1,,2.0,29.69,1501.44,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,2.4157610072441162,1.2212065879897256,2.2386188487045473,0.6984026577506816,,0.8656035535877167
25,7.0,,CD1,,1.0,11.96,565.86,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-0.6300739168262991,-0.8295375164318919,-0.10811689600714013,-0.16214536412110495,,0.4328144264042897
26,8.0,,CD1,,1.0,5.71,488.36,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-1.2145954007329351,-0.9994136019538946,-0.9353644089483724,-0.16214536412110495,,0.11437598089875924
27,9.0,,CD1,,1.0,5.69,463.32,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-1.2474972290868949,-1.0543000171986812,-0.9380116009897843,-0.16214536412110495,,0.10869719523551903
28,10.0,,CD1,,2.0,26.88,2168.36,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,3.031335875821105,2.6830615422650044,1.8666883668861691,0.6984026577506816,,0.8674818609767465
29,1.0,,CD1,,2.0,9.8,1108.78,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,0.37280623025155946,0.36051570100818214,-0.39401363647963,0.6984026577506816,1.0,0.8687762785396459
30,2.0,,CD1,,1.25,17.7,1113.99,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,0.6266913880509201,0.371935757854242,0.6516272198780872,0.0529916413468417,1.0,0.871120098916759
31,3.0,,CD1,,3.0,31.2,1971.29,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,3.613451850242455,2.2510940561511834,2.4384818478311487,1.5589506796224681,1.0,0.868776287787359
32,4.0,,CD1,,2.33,14.17,915.26,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,0.6337528266132594,-0.06367036441398527,0.18439782456887943,0.9823835049683712,1.0,0.8710582623240264
33,5.0,,CD1,,3.0,16.7,1258.17,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.5898222889285594,0.6879710354098855,0.5192676178074901,1.5589506796224681,1.0,0.8702312365445182
34,6.0,,CD1,,0.5,14.36,831.5,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-0.3562793344230976,-0.2472680537471846,0.20954614896229284,-0.5924193750569982,1.0,0.6646679640232889
35,7.0,,CD1,,1.5,23.35,1342.36,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.476203001189693,0.8725112630240452,1.3994589715769614,0.2681286468147883,1.0,0.8688893965430239
36,8.0,,CD1,,2.0,12.7,893.91,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,0.33006824808089874,-0.11046848603843382,-0.01017079047489845,0.6984026577506816,1.0,0.8669949291178818
