Genotype (I.D.),Animal,Stimulus,Paw Velocity (mm/s),Paw Height (mm),Pain Score,,,,,
C57,1,cotton swab,1738.25,6.55,2.00,,,,,
C57,2,cotton swab,235.76,4.14,0.00,,,,,
C57,3,cotton swab,1416.35,5.50,1.00,,,,,
C57,4,cotton swab,696.17,6.73,0.00,,,,,
C57,5,cotton swab,621.26,5.88,0.00,,,,,
C57,6,cotton swab,572.60,3.88,0.00,,,,,
C57,7,cotton swab,1208.25,7.81,0.00,,,,,
C57,8,cotton swab,1055.94,5.50,0.00,,,,,
C57,9,cotton swab,1288.35,5.05,0.00,,,,,
C57,1,dynamic brush,479.51,6.52,0.00,,,,,
C57,2,dynamic brush,670.50,7.63,0.00,,,,,
C57,3,dynamic brush,743.42,6.72,1.00,,,,,
C57,4,dynamic brush,1501.50,8.40,2.00,,,,,
C57,5,dynamic brush,485.64,8.39,1.00,,,,,
C57,6,dynamic brush,1704.52,11.09,3.00,,,,,
C57,7,dynamic brush,345.45,7.67,0.00,,,,,
C57,8,dynamic brush,1346.76,9.48,1.00,,,,,
C57,9,dynamic brush,972.30,7.97,0.00,,,,,
C57,1,light pinprick,1290.04,11.04,2.00,,,,,
C57,2,light pinprick,543.41,9.77,0.00,,,,,
C57,3,light pinprick,838.53,8.74,0.00,,,,,
C57,4,light pinprick,1360.89,16.16,1.00,,,,,
C57,5,light pinprick,1898.93,13.28,3.00,,,,,
C57,6,light pinprick,628.23,7.24,0.00,,,,,
C57,7,light pinprick,1182.88,8.42,0.00,,,,,
C57,8,light pinprick,1520.15,7.75,2.00,,,,,
C57,9,light pinprick,1457.33,6.93,2.00,,,,,
C57,1,heavy pinprick,1564.67,16.97,3.00,,,,,
C57,2,heavy pinprick,3077.72,20.62,3.00,,,,,
C57,3,heavy pinprick,2395.61,20.60,4.00,,,,,
C57,4,heavy pinprick,1277.38,16.55,1.00,,,,,
C57,5,heavy pinprick,1688.02,16.40,2.00,,,,,
C57,6,heavy pinprick,2230.37,19.09,3.00,,,,,
C57,7,heavy pinprick,1222.23,18.26,2.00,,,,,
C57,8,heavy pinprick,1065.73,7.68,2.00,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
